2025-01-02 13:35:53,542 - INFO -  mispelled: ['éco'] in Sous-filières, matériaux et produits liés à l'éco-construction.
2025-01-02 13:35:54,790 - INFO -  mispelled: ['Wallonia'] in Partenaires de l'édition 2018 de l'événement "Industrie du Futur" ou "Industrie du futur", évènement intersectoriel wallon porté par la communauté Made Different Digital Wallonia sur la thématique Industrie 4.0.
2025-01-02 13:35:54,807 - INFO -  mispelled: ['Wallonia'] in Partenaires de l'édition 2019 de l'événement "Factories of the futur" ou "Industrie du futur", événement intersectoriel wallon porté par la communauté Made Different Digital Wallonia sur la thématique Industrie 4.0.
2025-01-02 13:35:54,836 - INFO -  mispelled: ['Wallonia'] in Partenaires de l'édition 2020 de l'événement "Factories of the futur" ou "Industrie du futur", événement intersectoriel wallon porté par la communauté Made Different Digital Wallonia sur la thématique Industrie 4.0.
2025-01-02 13:35:54,842 - INFO -  mispelled: ['Mecatech'] in Projet européen, impliquant le pôle Mecatech, qui vise à co-financer et développer des projets collaboratifs intégrant l’IoT dans les outils de production et les machines dans le cadre de l’Industrie du Futur.
2025-01-02 13:35:54,859 - INFO -  mispelled: ['Agoria', 'Belfius'] in Villes et communes wallonnes inscrites au Smart City Award 2015. A l'initiative d'Agoria et de Belfius, ce prix récompense la ville ou commune la plus créative en matière de projet durable.
2025-01-02 13:35:54,876 - INFO -  mispelled: ['WEX', 'Wallonia'] in Acteurs participant à l'une ou l'autre édition du congrès-salon Smart City Wallonia au WEX. Le congrès aborde la mise en oeuvre de projets "Smart City" à l'échelle du territoire wallon tenant compte de ses spécificités, composé à la fois de grandes villes mais aussi de communes de plus petite taille.
2025-01-02 13:35:54,901 - INFO -  mispelled: ['Evénement'] in Start-ups wallonnes présentes au START-UP MEET'IN le 19 novembre 2024 au Cercle du Lac. Evénement de rencontre entre experts et start-ups.
2025-01-02 13:35:54,925 - INFO -  mispelled: ['MecaTech', 'Infopôle'] in Entreprises participant au parcours Trends Watch initié par l'Infopôle Cluster TIC et le Pôle MecaTech.
2025-01-02 13:35:54,942 - INFO -  mispelled: ['Wallcode'] in Ateliers, établissements et organismes de formation actifs dans le cadre de Wallcode du 21 au 25 novembre 2016. Cette semaine annuelle du code vise la sensibilisation des élèves et enseignants aux sciences informatiques, à la logique algorithmique et aux langages de programmation.
2025-01-02 13:35:54,947 - INFO -  mispelled: ['Wallcode'] in Ateliers, établissements et organismes de formation actifs dans le cadre de Wallcode du 7 au 22 octobre 2017. Cette semaine annuelle du code vise la sensibilisation des élèves et enseignants aux sciences informatiques, à la logique algorithmique et aux langages de programmation.
2025-01-02 13:35:54,963 - INFO -  mispelled: ['Wallcode'] in Ateliers, établissements et organismes de formation actifs dans le cadre de Wallcode au cours de l'année 2018. Cette action vise la sensibilisation des élèves et enseignants aux sciences informatiques, à la logique algorithmique et aux langages de programmation.
2025-01-02 13:35:54,972 - INFO -  mispelled: ['Wallcode'] in Ateliers, établissements et organismes de formation actifs dans le cadre de Wallcode au cours de l'année 2019. Cette action vise la sensibilisation des élèves et enseignants aux sciences informatiques, à la logique algorithmique et aux langages de programmation.
2025-01-02 13:35:54,979 - INFO -  mispelled: ['WIFI4EU'] in Communes wallonnes lauréates du 1er appel à projets européen WIFI4EU 2018.
2025-01-02 13:35:54,979 - INFO -  mispelled: ['WIFI4EU', '2ème'] in Communes wallonnes lauréates du 2ème appel à projets européen WIFI4EU 2019.
2025-01-02 13:35:54,995 - INFO -  mispelled: ['WIFI4EU', '3ème'] in Communes wallonnes lauréates du 3ème appel à projets européen WIFI4EU 2019.
2025-01-02 13:35:54,995 - INFO -  mispelled: ['4ème', 'WIFI4EU'] in Communes wallonnes lauréates du 4ème appel à projets européen WIFI4EU 2020.
2025-01-02 13:35:55,024 - INFO -  mispelled: ['EPN', 'labélisés'] in Réseau des Espaces Publics Numériques labélisés "EPN de Wallonie". Ce label est octroyé dans le cadre de la lutte contre l'exclusion numérique en Wallonie.
2025-01-02 13:35:55,034 - INFO -  mispelled: ['PMTIC'] in Opérateurs de formation agréés PMTIC. Le Plan Mobilisateur TIC (PMTIC) est un dispositif de la Wallonie destiné à sensibiliser et à former les personnes sans emploi aux technologies de l'information et de la communication.
2025-01-02 13:35:55,039 - INFO -  mispelled: ['Etablissements'] in Etablissements scolaires actifs dans l'intégration du numérique dans l'apprentissage et membres du réseau d'enseignement de la Fédération Wallonie-Bruxelles.
2025-01-02 13:35:55,042 - INFO -  mispelled: ['Etablissements'] in Etablissements scolaires du réseau d'enseignement de la Communauté germanophone.
2025-01-02 13:35:55,051 - INFO -  mispelled: ['Etablissements'] in Etablissements scolaires du réseau d'enseignement libre subventionné confessionnel.
2025-01-02 13:35:55,051 - INFO -  mispelled: ['Etablissements'] in Etablissements scolaires du réseau d'enseignement libre subventionné non confessionnel.
2025-01-02 13:35:55,067 - INFO -  mispelled: ['CPEONS', 'Etablissements', 'CECP'] in Etablissements scolaires du réseau d'enseignement officiel subventionné (communes et provinces). Ils sont fédérés par le CECP pour le fondamental et le spécialisé et par le CPEONS pour le secondaire et la promotion sociale.
2025-01-02 13:35:55,075 - INFO -  mispelled: ['BeAngels'] in Entreprises soutenues par BeAngels. Réseau de business angels, BeAngels a pour but de mettre en relation des porteurs (hommes ou femmes) de projets innovants avec des investisseurs souhaitant investir et s’investir (temps, expérience managériale) auprès de ces projets.
2025-01-02 13:35:55,092 - INFO -  mispelled: ['Sambrinvest', 'Wapinvest', 'IMBC', 'Attraxion'] in Startups wallonnes financées et accompagnées par l'incubateur hennuyer Digital Attraxion. Digital Attraxion est une initiative de Sambrinvest, Wapinvest et IMBC.
2025-01-02 13:35:55,113 - INFO -  mispelled: ['Nivelinvest', 'BW'] in Entreprises soutenues par Invest.BW. Acteur du plan de reconversion de l'Ouest du Brabant wallon, Invest.BW propose ses moyens financiers et ses compétences en intervenant auprès des PME. (ancien Nivelinvest).
2025-01-02 13:35:55,130 - INFO -  mispelled: ['Socran', 'Cide', 'LeanSquare', 'Meusinvest', 'Leansquare'] in Startups wallonnes financées et accompagnées par l'incubateur Leansquare. LeanSquare est une initiative de Meusinvest mise en œuvre par Cide-Socran.
2025-01-02 13:35:55,155 - INFO -  mispelled: ['Noshaq'] in Entreprises soutenues par Noshaq. Noshaq est un fonds d'investissement qui contribue à la création et au développement des entreprises en province de Liège en assurant  le financement  à long terme de projets d'entreprises.
2025-01-02 13:35:55,163 - INFO -  mispelled: ['Sambrinvest'] in Entreprises soutenues par Sambrinvest. Sambrinvest est un acteur de capital à risque actif dans la région de Charleroi - Thuin. Il a pour objet l'accompagnement et le développement des PME.
2025-01-02 13:35:55,173 - INFO -  mispelled: ['Wallonia'] in Startups financées par le fonds W.IN.G. by Digital Wallonia, événements et publications liés. W.IN.G. est le fonds d'investissement de la Wallonie pour les startups numériques.
2025-01-02 13:35:55,188 - INFO -  mispelled: ['Wallimage'] in Startups ou entreprises wallonnes soutenues et accompagnées par Wallimage ou Wallimage Entreprises. Wallimage soutient des productions qui effectueront d'importantes dépenses en Wallonie et Wallimage Entreprises intervient dans le capital d'entreprises novatrices spécialisées dans l'audiovisuel qui se créent, s'implantent ou se développent en Région wallonne.
2025-01-02 13:35:55,196 - INFO -  mispelled: ['Wapinvest'] in Entreprises soutenues par Wapinvest. Wapinvest est un fonds d'investissement régional ayant pour mission d'accompagner et de financer les entreprises de Wallonie Picarde.
2025-01-02 13:35:55,216 - INFO -  mispelled: ['AECC'] in Accélérateur spécialisé dans le financement et la croissance de projets innovants dans la technologie et l'ingénierie. L'AECC propose des programmes d'accélération personnalisés et intensifs adaptés à la maturité du projet (start-up, spin-off, spin-out, scale-up et PME).
2025-01-02 13:35:55,225 - INFO -  mispelled: ['coeur'] in Entreprises hébergées ou accompagnées par CAP Innove. Cap Innove héberge, conseille et accompagne les entreprises et entrepreneurs au coeur du Brabant wallon.
2025-01-02 13:35:55,237 - INFO -  mispelled: ['coeur', 'CEI'] in Entreprises hébergées par le CEI. Le Centre d'Entreprise et d'Innovation (CEI) est un incubateur de startups et de PME au coeur de l'UCL et de son parc scientifique.
2025-01-02 13:35:55,243 - INFO -  mispelled: ['coeur'] in Entreprises hébergées par l'incubateur de Job'In Design. Job'In Design est une pépinière d'entreprises du secteur du Design située au coeur de l'espace Design Station à Liège.
2025-01-02 13:35:55,267 - INFO -  mispelled: ['Extrakktion', 'TRAKK'] in Entreprises accélérées, accompagnées et/ou financées dans le cadre du programme Extrakktion. Ce programme est porté par le BEP, le TRAKK et Namur Invest.
2025-01-02 13:35:55,282 - INFO -  mispelled: ['ID2Food'] in Entreprises accompagnées par ID2Food. ID2Food est l'écosystème spécialisé dans le domaine de la Food/Tech mais aussi laboratoire d'idées, infrastructures partagées pour tester ou valider son marché et son projet.
2025-01-02 13:35:55,290 - INFO -  mispelled: ['ID2Move'] in Entreprises hébergées ou accompagnées par ID2Move. ID2Move est un incubateur à destination des startups, PME et universités actives dans le domaine des systèmes autonomes avec un focus particulier sur les drones.
2025-01-02 13:35:55,307 - INFO -  mispelled: ['AxE', 'asbl'] in Porteurs de projets et entreprises impliqués dans le programme d'accompagnement Mind & market. Mind & Market est une collaboration entre l'Université Catholique de Louvain (UCL) et l'association d'entreprises AxE 4.25 asbl.
2025-01-02 13:35:55,322 - INFO -  mispelled: ['Faktory', 'faktory'] in Entreprises hébergées par The faktory. The Faktory est un accélérateur et un fond de pré-démarrage privé dédié aux technologies disruptives.
2025-01-02 13:35:55,322 - INFO -  mispelled: ['TRAKK'] in Communauté des acteurs actifs autour du TRAKK. Le TRAKK est un hub créatif namurois.
2025-01-02 13:35:55,322 - INFO -  mispelled: ['VentureLab'] in Projets numériques accompagnés par VentureLab. Le VentureLab est un accélérateur pour les étudiants et jeunes diplômés des institutions de l'Enseignement supérieur du pôle académique Liège-Luxembourg.
2025-01-02 13:35:55,342 - INFO -  mispelled: ['WSL'] in Entreprises, startups et projets accompagnés par WSL, incubateur spécialisé dans le soutien aux techno-entrepreneurs et les sciences de ingénieur.
2025-01-02 13:35:55,346 - INFO -  mispelled: ['Yncubator'] in Projets accompagnés par l'Yncubator. L'Yncubator est un accélérateur pour les étudiants et jeunes diplômés du Brabant Wallon qui souhaitent lancer leur startup.
2025-01-02 13:35:55,358 - INFO -  mispelled: ['DigitalWallonia4'] in Entreprises wallonnes participantes au 1er appel Cap IA de DigitalWallonia4.ai, en vue d’un accompagnement stratégique pour la mise sur le marché d’une solution IA.
2025-01-02 13:35:55,372 - INFO -  mispelled: ['Wallonia'] in Startup lauréates des awards Digital Wallonia (International startup, Acceleration, Startup of the year et Award d'honneur), nommées à l'événement Shake 2018.
2025-01-02 13:35:55,387 - INFO -  mispelled: ['Wallonia'] in Startup lauréates des awards Digital Wallonia (Award d’honneur, International Startup, New Startup, Grand Prix 2019), nommées à l'événement Shake 2019.
2025-01-02 13:35:55,395 - INFO -  mispelled: ['Wallonia'] in Lauréats des Digital Wallonia startup awards 2020 (Startup of the year award, Acceleration startup award et Digital Wallonia 4 Good startup award).
2025-01-02 13:35:55,428 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Chantiers et services circulaires (édition 2021) visant à financer des projets en économie circulaire dans le secteur de la construction (chantiers nouveau, rénovations, services…) dans le cadre de la stratégie Circular Wallonia.
2025-01-02 13:35:55,428 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Chantiers et services circulaires (édition 2023) visant à financer des projets en économie circulaire dans le secteur de la construction (chantiers nouveau, rénovations, services…) dans le cadre de la stratégie Circular Wallonia.
2025-01-02 13:35:55,444 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Chantiers et services circulaires (édition 2024) visant à financer des projets en économie circulaire dans le secteur de la construction (chantiers nouveau, rénovations, services…) dans le cadre de la stratégie Circular Wallonia.
2025-01-02 13:35:55,468 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Go Circular (édition 2021) visant à financer des projets en économie circulaire dans le cadre de la stratégie Circular Wallonia.
2025-01-02 13:35:55,473 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Go Circular (édition 2023) visant à financer des projets en économie circulaire dans le cadre de la stratégie Circular Wallonia.
2025-01-02 13:35:55,492 - INFO -  mispelled: ['Mecatech'] in Projets et organismes lauréats de l'appel à projet Proof of Circularity lancé par le pôle Mecatech (édition 2024) finançant des solutions novatrices pour améliorer le cycle de vie des produits via les matériaux, processus et design, favorisant un modèle circulaire ou une stratégie innovante en entreprise.
2025-01-02 13:35:55,508 - INFO -  mispelled: ['Mecatech'] in Projets et organismes lauréats de l'appel à projet Proof of Circularity lancé par le pôle Mecatech (édition 2025) finançant des solutions novatrices pour améliorer le cycle de vie des produits via les matériaux, processus et design, favorisant un modèle circulaire ou une stratégie innovante en entreprise.
2025-01-02 13:35:55,516 - INFO -  mispelled: ['POC', '5G'] in Bénéficiaires lauréats des premiers appel à projets POC 5G en 2022
2025-01-02 13:35:55,516 - INFO -  mispelled: ['POC', '5G'] in Bénéficiaires lauréats des premiers appel à projets POC 5G en 2023
2025-01-02 13:35:55,524 - INFO -  mispelled: ['IDF', 'MecaTech', 'POC', 'PoC'] in Bénéficiaires lauréats des appels à projets POC IDF & Circularité 2022 et 2024. Lancés par le pôle MecaTech et ses partenaires, les PoC's ont pour but de financer des mises en situation réelle et permettront de tester des solutions technologiques dans des entreprises manufacturières wallonnes.
2025-01-02 13:35:55,542 - INFO -  mispelled: ['IDF', 'MecaTech', 'PoC'] in Bénéficiaires lauréats des appels à projets PoC IDF 2024.  Lancés par le pôle MecaTech et ses partenaires en avril 2024, les PoC's ont pour but de financer des mises en situation réelle et permettront de tester des solutions technologiques dans des entreprises manufacturières wallonnes.
2025-01-02 13:35:55,572 - INFO -  mispelled: ['2ème', 'CPAS'] in Communes, CPAS et Provinces lauréats du premier Appel à projets (2021) "Digitalisation des Pouvoirs Locaux", dans le cadre de l'accord "TOP" 2ème version
2025-01-02 13:35:55,573 - INFO -  mispelled: ['Wallonia'] in Entreprises lauréates du prix Ambassadeur Made Différent Digital Wallonia ayant un niveau de pointe sur au moins une des sept transformations.
2025-01-02 13:35:55,589 - INFO -  mispelled: ['DigitalEES'] in Entreprises lauréates des appels aux bourses de digitalisation liés au programme d'accompagnement DigitalEES.
2025-01-02 13:35:55,604 - INFO -  mispelled: ['DigitalWallonia4'] in Entreprises lauréates des appels à projets Tremplin IA et Start IA liés au programme d'accompagnement DigitalWallonia4.ai.
2025-01-02 13:35:55,724 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Implement IT 4 Circularity (édition 2022) dans le cadre du programme Digital Wallonia 4 Circular visant à financer des démonstrateurs individuels ou collectifs de technologies numériques accélérant le déploiement de l’économie circulaire en Wallonie.
2025-01-02 13:35:55,757 - INFO -  mispelled: ['Wallonia'] in Projets et organismes lauréats de l'appel à projet Implement IT 4 Circularity (édition 2023) dans le cadre du programme Digital Wallonia 4 Circular visant à financer des démonstrateurs individuels ou collectifs de technologies numériques accélérant le déploiement de l’économie circulaire en Wallonie.
2025-01-02 13:35:55,757 - INFO -  mispelled: ['DigitalWallonia4'] in Entreprises wallonnes participantes aux appels à projets Start IA de DigitalWallonia4.ai, et bénéficiant de l'accompagnement d’un expert identifié au sein du Pool d'Experts IA.
2025-01-02 13:35:55,804 - INFO -  mispelled: ['DigitalWallonia4', 'PoCs'] in Entreprises wallonnes participantes aux appels à projets Tremplin IA de DigitalWallonia4.ai en vue de la mise en place de Proof of Concepts (PoCs), de démonstrateurs de cas d'usages potentiels de l'IA.
2025-01-02 13:35:55,822 - INFO -  mispelled: ['Wallonia'] in Entreprises wallonnes présentes et/ou représentées par Digital Wallonia au CES 2018 du 9 au 12 janvier 2018 à Las Vegas. Le Consumer Electronic Show (CES) est le plus grand rassemblement au monde dans le domaine de l'électronique grand public.
2025-01-02 13:35:55,923 - INFO -  mispelled: ['AWEX', 'Economie', 'Wallonia'] in L’AWEX organise une mission Digital Wallonia en Chine du 10 au 16 novembre 2019 à l’occasion de la China Hi tech Fair. Au programme, des rencontres et des visites guidées auprès des géants chinois de l’Internet, sur mesure pour les écosystèmes start-ups, accélérateurs, intégrateurs et acteurs de la Nouvelle Economie en Wallonie.
2025-01-02 13:35:55,985 - INFO -  mispelled: ['InCyber'] in Entreprises wallonnes présentes au Forum InCyber qui se déroule à Lille du 26 au 28 mars 2024. Cet événement rassemble tout l’écosystème de la cybersécurité et du "numérique de confiance"
2025-01-02 13:35:55,993 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes présentes au Gamescom du 21 au 25 août 2018 à Cologne. La Gamescom est un salon international sur l'univers du jeu vidéo.
2025-01-02 13:35:55,993 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes présentes au Gamescom du 20 au 24 août 2019 à Cologne. La Gamescom est un salon international sur l'univers du jeu vidéo.
2025-01-02 13:35:56,010 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes participants à la Gamescom du 27 au 30 août 2020 à Cologne. La Gamescom est un salon international sur l'univers du jeu vidéo.
2025-01-02 13:35:56,010 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes présentes au Gamescom du 24 au 28 août 2022 à Cologne. La Gamescom est un salon international consacré à l'univers du jeu vidéo.
2025-01-02 13:35:56,026 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes présentes au Gamescom du 23 au 27 août 2023 à Cologne. La Gamescom est un salon international consacré à l'univers du jeu vidéo.
2025-01-02 13:35:56,026 - INFO -  mispelled: ['Gamescom'] in Entreprises wallonnes présentes au Gamescom du 21 au 25 août 2024 à Cologne. La Gamescom est un salon international consacré à l'univers du jeu vidéo.
2025-01-02 13:35:56,052 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 21 mars au 23 mars 2018. Le salon Game Developers Conference (GDC) est dédié à l'industrie du jeux vidéo.
2025-01-02 13:35:56,059 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 18 mars au 22 mars 2019. Le salon Game Developers Conference (GDC) est dédié à l’industrie du jeux vidéo.
2025-01-02 13:35:56,081 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 16 mars au 20 mars 2020. Le salon Game Developers Conference (GDC) est dédié à l'industrie du jeux vidéo.
2025-01-02 13:35:56,097 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 21 mars au 25 mars 2022. Le salon Game Developers Conference (GDC) est dédié à l'industrie du jeux vidéo.
2025-01-02 13:35:56,114 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 20 mars au 24 mars 2023. Le salon Game Developers Conference (GDC) est dédié à l'industrie du jeux vidéo.
2025-01-02 13:35:56,130 - INFO -  mispelled: ['GDC'] in Entreprises wallonnes présentes au Game Developers Conference à San Francisco du 18 mars au 22 mars 2024. Le salon Game Developers Conference (GDC) est dédié à l'industrie du jeux vidéo.
2025-01-02 13:35:56,148 - INFO -  mispelled: ['MEASA', 'GITEX'] in Entreprises et startups wallonnes présentes au GITEX du 06 octobre au 09 octobre 2019 à Dubaï. GITEX est le plus grand salon technologique de la région MEASA (Moyen-Orient, Afrique du Nord et Asie du Sud).
